SKU,Name,Category,Size,Blend,Milk,Main_Estate,Airport,Rail
0,Black Americano,Hot Drink,PRIMO,MOCHA_ITALIA,,2,2.05,2.1
1,Black Americano,Hot Drink,MEDIO,MOCHA_ITALIA,,2.3,2.35,2.4
2,Black Americano,Hot Drink,MASSIMO,MOCHA_ITALIA,,2.6,2.65,2.7
3,Black Americano,Hot Drink,PRIMO,DECAF,,2,2.05,2.05
4,Black Americano,Hot Drink,MEDIO,DECAF,,2.3,2.35,2.4
5,Black Americano,Hot Drink,MASSIMO,DECAF,,2.6,2.65,2.6
6,Black Americano,Hot Drink,PRIMO,OPS,,2.2,2.25,2.3
7,Black Americano,Hot Drink,MEDIO,OPS,,2.5,2.55,2.6
8,Black Americano,Hot Drink,MASSIMO,OPS,,2.8,2.85,2.9
9,Cappuccino,Hot Drink,PRIMO,MOCHA_ITALIA,WHOLE,2.35,2.4,2.45
10,Cappuccino,Hot Drink,MEDIO,MOCHA_ITALIA,WHOLE,2.65,2.7,2.75
11,Cappuccino,Hot Drink,MASSIMO,MOCHA_ITALIA,WHOLE,2.95,3,3.05
12,Cappuccino,Hot Drink,PRIMO,MOCHA_ITALIA,SKIMMED,2.35,2.4,2.45
13,Cappuccino,Hot Drink,MEDIO,MOCHA_ITALIA,SKIMMED,2.65,2.7,2.75
14,Cappuccino,Hot Drink,MASSIMO,MOCHA_ITALIA,SKIMMED,2.95,3,3.05
15,Cappuccino,Hot Drink,PRIMO,MOCHA_ITALIA,SOYA,2.35,2.4,2.45
16,Cappuccino,Hot Drink,MEDIO,MOCHA_ITALIA,SOYA,2.65,2.7,2.75
17,Cappuccino,Hot Drink,MASSIMO,MOCHA_ITALIA,SOYA,2.95,3,3.05
18,Cappuccino,Hot Drink,PRIMO,DECAF,WHOLE,2.35,2.4,2.45
19,Cappuccino,Hot Drink,MEDIO,DECAF,WHOLE,2.65,2.7,2.75
20,Cappuccino,Hot Drink,MASSIMO,DECAF,WHOLE,2.95,3,3.05
21,Cappuccino,Hot Drink,PRIMO,DECAF,SKIMMED,2.35,2.4,2.45
22,Cappuccino,Hot Drink,MEDIO,DECAF,SKIMMED,2.65,2.7,2.75
23,Cappuccino,Hot Drink,MASSIMO,DECAF,SKIMMED,2.95,3,3.05
24,Cappuccino,Hot Drink,PRIMO,DECAF,SOYA,2.35,2.4,2.45
25,Cappuccino,Hot Drink,MEDIO,DECAF,SOYA,2.65,2.7,2.75
26,Cappuccino,Hot Drink,MASSIMO,DECAF,SOYA,2.95,3,3.05
27,Cappuccino,Hot Drink,PRIMO,OPS,WHOLE,2.55,2.6,2.65
28,Cappuccino,Hot Drink,MEDIO,OPS,WHOLE,2.85,2.9,2.95
29,Cappuccino,Hot Drink,MASSIMO,OPS,WHOLE,3.15,3.2,3.25
30,Cappuccino,Hot Drink,PRIMO,OPS,SKIMMED,2.55,2.6,2.65
31,Cappuccino,Hot Drink,MEDIO,OPS,SKIMMED,2.85,2.9,2.95
32,Cappuccino,Hot Drink,MASSIMO,OPS,SKIMMED,3.15,3.2,3.25
33,Cappuccino,Hot Drink,PRIMO,OPS,SOYA,2.55,2.6,2.65
34,Cappuccino,Hot Drink,MEDIO,OPS,SOYA,2.85,2.9,2.95
35,Cappuccino,Hot Drink,MASSIMO,OPS,SOYA,3.15,3.2,3.25
36,Flat White,Hot Drink,PRIMO,MOCHA_ITALIA,WHOLE,2.6,2.65,2.7
37,Flat White,Hot Drink,PRIMO,MOCHA_ITALIA,SKIMMED,2.6,2.65,2.7
38,Flat White,Hot Drink,PRIMO,MOCHA_ITALIA,SOYA,2.6,2.65,2.7
39,Flat White,Hot Drink,PRIMO,DECAF,WHOLE,2.6,2.65,2.7
40,Flat White,Hot Drink,PRIMO,DECAF,SKIMMED,2.6,2.65,2.7
41,Flat White,Hot Drink,PRIMO,DECAF,SOYA,2.6,2.65,2.7
42,Flat White,Hot Drink,PRIMO,OPS,WHOLE,2.8,2.85,2.9
43,Flat White,Hot Drink,PRIMO,OPS,SKIMMED,2.8,2.85,2.9
44,Flat White,Hot Drink,PRIMO,OPS,SOYA,2.8,2.85,2.9
45,Caffe Latte,Hot Drink,PRIMO,MOCHA_ITALIA,WHOLE,2.35,2.4,2.45
46,Caffe Latte,Hot Drink,MEDIO,MOCHA_ITALIA,WHOLE,2.65,2.7,2.75
47,Caffe Latte,Hot Drink,MASSIMO,MOCHA_ITALIA,WHOLE,2.95,3,3.05
48,Caffe Latte,Hot Drink,PRIMO,MOCHA_ITALIA,SKIMMED,2.35,2.4,2.45
49,Caffe Latte,Hot Drink,MEDIO,MOCHA_ITALIA,SKIMMED,2.65,2.7,2.75
50,Caffe Latte,Hot Drink,MASSIMO,MOCHA_ITALIA,SKIMMED,2.95,3,3.05
51,Caffe Latte,Hot Drink,PRIMO,MOCHA_ITALIA,SOYA,2.35,2.4,2.45
52,Caffe Latte,Hot Drink,MEDIO,MOCHA_ITALIA,SOYA,2.65,2.7,2.75
53,Caffe Latte,Hot Drink,MASSIMO,MOCHA_ITALIA,SOYA,2.95,3,3.05
54,Caffe Latte,Hot Drink,PRIMO,DECAF,WHOLE,2.35,2.4,2.45
55,Caffe Latte,Hot Drink,MEDIO,DECAF,WHOLE,2.65,2.7,2.75
56,Caffe Latte,Hot Drink,MASSIMO,DECAF,WHOLE,2.95,3,3.05
57,Caffe Latte,Hot Drink,PRIMO,DECAF,SKIMMED,2.35,2.4,2.45
58,Caffe Latte,Hot Drink,MEDIO,DECAF,SKIMMED,2.65,2.7,2.75
59,Caffe Latte,Hot Drink,MASSIMO,DECAF,SKIMMED,2.95,3,3.05
60,Caffe Latte,Hot Drink,PRIMO,DECAF,SOYA,2.35,2.4,2.45
61,Caffe Latte,Hot Drink,MEDIO,DECAF,SOYA,2.65,2.7,2.75
62,Caffe Latte,Hot Drink,MASSIMO,DECAF,SOYA,2.95,3,3.05
63,Caffe Latte,Hot Drink,PRIMO,OPS,WHOLE,2.55,2.6,2.65
